Sl. No,DISTRICT,state name,censuscode,RR_2020,LL_2020,UL_2020,RR_2022,LL_2022,UL_2022
1,Kupwara,Jammu & Kashmir,1,1.13,1,1.26,0.78,0.69,0.89
2,Badgam,Jammu & Kashmir,2,1.52,1.36,1.68,1.06,0.95,1.19
3,Leh (ladakh),Jammu & Kashmir,3,0.2,0.09,0.37,0.23,0.12,0.4
4,Kargil,Jammu & Kashmir,4,0.2,0.11,0.33,0.25,0.14,0.39
5,Punch,Jammu & Kashmir,5,0.9,0.75,1.06,0.81,0.68,0.95
6,Rajouri,Jammu & Kashmir,6,1,0.86,1.15,1.4,1.25,1.56
7,Kathua,Jammu & Kashmir,7,0.69,0.58,0.82,0.44,0.36,0.53
8,Baramula,Jammu & Kashmir,8,1.32,1.19,1.45,0.61,0.53,0.69
9,Bandipore,Jammu & Kashmir,9,0.62,0.48,0.76,1.33,1.15,1.54
10,Srinagar,Jammu & Kashmir,10,0.81,0.72,0.91,1.07,0.97,1.17
11,Ganderbal,Jammu & Kashmir,11,1.35,1.12,1.61,1.6,1.37,1.85
12,Pulwama,Jammu & Kashmir,12,0.61,0.5,0.73,1.09,0.95,1.24
13,Shupiyan,Jammu & Kashmir,13,1.87,1.59,2.18,0.87,0.7,1.07
14,Anantnag,Jammu & Kashmir,14,0.79,0.7,0.89,0.61,0.54,0.69
15,Kulgam,Jammu & Kashmir,15,2.08,1.84,2.33,1.3,1.13,1.49
16,Doda,Jammu & Kashmir,16,0.68,0.54,0.83,0.74,0.61,0.89
17,Ramban,Jammu & Kashmir,17,0.77,0.59,0.96,0.66,0.51,0.83
18,Kishtwar,Jammu & Kashmir,18,0.58,0.42,0.76,0.52,0.38,0.69
19,Udhampur,Jammu & Kashmir,19,0.69,0.57,0.82,0.76,0.64,0.89
20,Reasi,Jammu & Kashmir,20,0.58,0.44,0.74,0.79,0.64,0.96
21,Jammu,Jammu & Kashmir,21,0.71,0.63,0.79,0.83,0.76,0.91
22,Samba,Jammu & Kashmir,22,0.64,0.49,0.81,0.43,0.32,0.56
23,Chamba,Himachal Pradesh,23,0.62,0.5,0.75,0.55,0.45,0.66
24,Kangra,Himachal Pradesh,24,0.57,0.5,0.64,0.52,0.46,0.58
25,Lahul & Spiti,Himachal Pradesh,25,0.39,0.18,0.7,0.41,0.2,0.74
26,Kullu,Himachal Pradesh,26,1.01,0.84,1.19,0.73,0.6,0.87
27,Mandi,Himachal Pradesh,27,0.91,0.81,1.02,0.63,0.55,0.71
28,Hamirpur,Himachal Pradesh,28,0.6,0.49,0.73,0.58,0.48,0.71
29,Una,Himachal Pradesh,29,0.62,0.5,0.74,0.63,0.52,0.75
30,Bilaspur,Himachal Pradesh,30,1.04,0.86,1.23,0.69,0.57,0.84
31,Solan,Himachal Pradesh,31,0.95,0.81,1.1,0.91,0.78,1.05
32,Sirmaur,Himachal Pradesh,32,0.85,0.72,1,0.88,0.76,1.02
33,Shimla,Himachal Pradesh,33,1.01,0.88,1.14,0.54,0.46,0.63
34,Kinnaur,Himachal Pradesh,34,0.85,0.54,1.23,1.17,0.83,1.61
35,Gurdaspur,Punjab,35,0.54,0.49,0.6,0.52,0.47,0.57
36,Kapurthala,Punjab,36,0.7,0.6,0.8,0.59,0.51,0.68
37,Jalandhar,Punjab,37,0.58,0.53,0.64,0.67,0.61,0.73
38,Hoshiarpur,Punjab,38,0.5,0.44,0.57,0.5,0.45,0.56
39,Shahid Bhagat Singh Nagar,Punjab,39,0.66,0.55,0.78,0.48,0.4,0.58
40,Fatehgarh Sahib,Punjab,40,0.66,0.54,0.78,0.91,0.79,1.05
41,Ludhiana,Punjab,41,0.7,0.65,0.76,0.72,0.67,0.77
42,Moga,Punjab,42,0.34,0.28,0.41,0.43,0.37,0.5
43,Firozpur,Punjab,43,0.6,0.54,0.67,0.5,0.45,0.56
44,Muktsar,Punjab,44,0.65,0.56,0.75,0.46,0.39,0.53
45,Faridkot,Punjab,45,0.59,0.48,0.71,0.44,0.36,0.53
46,Bathinda,Punjab,46,0.53,0.47,0.61,0.61,0.54,0.68
47,Mansa,Punjab,47,0.57,0.48,0.67,0.45,0.38,0.54
48,Patiala,Punjab,48,0.62,0.56,0.69,0.62,0.56,0.68
49,Amritsar,Punjab,49,0.61,0.55,0.66,0.58,0.53,0.63
50,Tarn Taran,Punjab,50,0.43,0.36,0.5,0.33,0.28,0.39
51,Rupnagar,Punjab,51,0.6,0.5,0.71,0.47,0.39,0.56
52,Sahibzada Ajit Singh Nagar,Punjab,52,0.96,0.85,1.08,1.2,1.09,1.32
53,Sangrur,Punjab,53,0.55,0.49,0.62,0.43,0.38,0.49
54,Barnala,Punjab,54,0.61,0.5,0.73,0.47,0.38,0.57
55,Chandigarh,Chandigarh,55,0.98,0.87,1.09,0.88,0.79,0.98
56,Uttarkashi,Uttarakhand,56,0.4,0.29,0.53,0.42,0.32,0.54
57,Chamoli,Uttarakhand,57,0.17,0.11,0.24,0.41,0.32,0.52
58,Rudraprayag,Uttarakhand,58,0.24,0.16,0.36,0.2,0.13,0.29
59,Tehri Garhwal,Uttarakhand,59,0.22,0.16,0.28,0.29,0.23,0.36
60,Dehradun,Uttarakhand,60,1.26,1.16,1.36,1.99,1.88,2.1
61,Garhwal,Uttarakhand,61,0.35,0.28,0.43,0.49,0.41,0.57
62,Pithoragarh,Uttarakhand,62,0.37,0.28,0.47,0.68,0.57,0.8
63,Bageshwar,Uttarakhand,63,0.66,0.51,0.84,0.27,0.18,0.38
64,Almora,Uttarakhand,64,0.15,0.1,0.2,0.23,0.18,0.3
65,Champawat,Uttarakhand,65,0.31,0.21,0.44,0.41,0.3,0.55
66,Nainital,Uttarakhand,66,1.31,1.18,1.44,1.67,1.54,1.81
67,Udham Singh Nagar,Uttarakhand,67,1.6,1.5,1.72,1.67,1.57,1.77
68,Hardwar,Uttarakhand,68,1.18,1.09,1.27,1.48,1.39,1.58
69,Panchkula,Haryana,69,1.52,1.34,1.7,1.93,1.75,2.13
70,Ambala,Haryana,70,1.6,1.47,1.73,1.96,1.83,2.1
71,Yamunanagar,Haryana,71,2.05,1.91,2.2,1.96,1.83,2.09
72,Kurukshetra,Haryana,72,2.41,2.24,2.59,2.39,2.23,2.56
73,Kaithal,Haryana,73,1.67,1.53,1.81,1.23,1.12,1.34
74,Karnal,Haryana,74,1.7,1.59,1.82,1.89,1.78,2.01
75,Panipat,Haryana,75,2.3,2.14,2.45,2.89,2.74,3.06
76,Sonipat,Haryana,76,1.82,1.69,1.95,2.13,2.01,2.25
77,Jind,Haryana,77,1.01,0.92,1.11,1.13,1.04,1.23
78,Fatehabad,Haryana,78,0.9,0.79,1.01,1.11,1,1.22
79,Sirsa,Haryana,79,1.32,1.21,1.43,1.34,1.24,1.44
80,Hisar,Haryana,80,1.49,1.39,1.6,1.91,1.81,2.02
81,Bhiwani,Haryana,81,1.36,1.26,1.46,1.65,1.55,1.75
82,Rohtak,Haryana,82,2.44,2.27,2.61,1.83,1.7,1.97
83,Jhajjar,Haryana,83,1.67,1.53,1.83,1.89,1.75,2.04
84,Mahendragarh,Haryana,84,1.07,0.95,1.19,0.94,0.84,1.05
85,Rewari,Haryana,85,2.02,1.86,2.19,1.51,1.38,1.65
86,Gurgaon,Haryana,86,2.43,2.29,2.57,2.48,2.35,2.62
87,Mewat,Haryana,87,1.05,0.94,1.16,1.06,0.96,1.16
88,Faridabad,Haryana,88,2.01,1.89,2.13,1.99,1.88,2.1
89,Palwal,Haryana,89,1.15,1.04,1.27,2.06,1.92,2.2
90,North West,NCT of Delhi,90,1.92,1.84,2,1.39,1.33,1.45
91,North,NCT of Delhi,91,3.81,3.58,4.04,5.7,5.45,5.96
92,North East,NCT of Delhi,92,1.37,1.29,1.46,1.92,1.83,2.01
93,East,NCT of Delhi,93,3.93,3.77,4.1,2.01,1.9,2.12
94,New Delhi,NCT of Delhi,94,3.5,2.98,4.07,2.9,2.47,3.38
95,Central,NCT of Delhi,95,2.55,2.33,2.79,2.97,2.75,3.2
96,West,NCT of Delhi,96,0.94,0.88,1.01,1.77,1.69,1.85
97,South West,NCT of Delhi,97,2.23,2.12,2.34,1.8,1.71,1.89
98,South,NCT of Delhi,98,0.74,0.69,0.8,2.51,2.42,2.61
99,Ganganagar,Rajasthan,99,2.3,2.18,2.42,2.28,2.17,2.39
100,Hanumangarh,Rajasthan,100,1.88,1.77,2,2.09,1.98,2.2
101,Bikaner,Rajasthan,101,1.3,1.22,1.39,1.38,1.3,1.46
102,Churu,Rajasthan,102,1.13,1.05,1.22,1.16,1.09,1.24
103,Jhunjhunun,Rajasthan,103,1.11,1.03,1.19,1.12,1.05,1.2
104,Alwar,Rajasthan,104,2,1.92,2.08,2.15,2.08,2.23
105,Bharatpur,Rajasthan,105,2,1.9,2.1,2.07,1.98,2.17
106,Dhaulpur,Rajasthan,106,1.97,1.83,2.12,1.88,1.75,2.01
107,Karauli,Rajasthan,107,1.41,1.3,1.52,1.81,1.7,1.93
108,Sawai Madhopur,Rajasthan,108,1.72,1.6,1.85,1.72,1.61,1.84
109,Dausa,Rajasthan,109,1.05,0.96,1.14,1.27,1.18,1.36
110,Jaipur,Rajasthan,110,1.51,1.45,1.56,1.88,1.82,1.93
111,Sikar,Rajasthan,111,1.2,1.13,1.27,1.42,1.35,1.49
112,Nagaur,Rajasthan,112,1.02,0.96,1.08,1.14,1.08,1.2
113,Jodhpur,Rajasthan,113,1.38,1.31,1.45,1.5,1.44,1.57
114,Jaisalmer,Rajasthan,114,1.24,1.09,1.4,1.15,1.02,1.29
115,Barmer,Rajasthan,115,1.49,1.41,1.58,1.15,1.09,1.22
116,Jalor,Rajasthan,116,1.08,0.99,1.16,1.06,0.99,1.14
117,Sirohi,Rajasthan,117,1.79,1.65,1.94,1.95,1.82,2.09
118,Pali,Rajasthan,118,1.86,1.76,1.97,1.89,1.8,1.99
119,Ajmer,Rajasthan,119,2.28,2.18,2.39,2.55,2.45,2.65
120,Tonk,Rajasthan,120,1.45,1.34,1.56,1.42,1.32,1.52
121,Bundi,Rajasthan,121,2.12,1.97,2.28,1.98,1.85,2.12
122,Bhilwara,Rajasthan,122,1.75,1.66,1.84,2.51,2.41,2.61
123,Rajsamand,Rajasthan,123,1.74,1.61,1.88,1.66,1.55,1.78
124,Dungarpur,Rajasthan,124,1.18,1.08,1.28,1.2,1.11,1.29
125,Banswara,Rajasthan,125,0.92,0.84,1,1.11,1.04,1.19
126,Chittaurgarh,Rajasthan,126,1.96,1.84,2.08,1.95,1.84,2.06
127,Kota,Rajasthan,127,2.13,2.02,2.25,2.33,2.22,2.45
128,Baran,Rajasthan,128,2.35,2.2,2.5,1.89,1.76,2.01
129,Jhalawar,Rajasthan,129,2.57,2.42,2.72,2.27,2.15,2.4
130,Udaipur,Rajasthan,130,1.28,1.21,1.36,1.91,1.83,1.99
131,Pratapgarh,Rajasthan,131,2.31,2.14,2.49,2.79,2.62,2.97
132,Saharanpur,Uttar Pradesh,132,0.72,0.67,0.77,0.7,0.65,0.75
133,Muzaffarnagar,Uttar Pradesh,133,0.58,0.54,0.62,0.76,0.71,0.8
134,Bijnor,Uttar Pradesh,134,0.79,0.74,0.84,1.03,0.97,1.08
135,Moradabad,Uttar Pradesh,135,1.09,1.03,1.14,0.86,0.82,0.9
136,Rampur,Uttar Pradesh,136,0.59,0.53,0.65,1.07,1,1.14
137,Jyotiba Phule Nagar,Uttar Pradesh,137,0.75,0.68,0.82,0.02,0.02,0.04
138,Meerut,Uttar Pradesh,138,0.75,0.7,0.8,1.82,1.75,1.9
139,Baghpat,Uttar Pradesh,139,1.03,0.93,1.13,1.3,1.2,1.4
140,Ghaziabad,Uttar Pradesh,140,0.55,0.51,0.59,0.94,0.89,0.99
141,Gautam Buddha Nagar,Uttar Pradesh,141,1.57,1.47,1.69,1.6,1.5,1.7
142,Bulandshahr,Uttar Pradesh,142,1.18,1.12,1.25,1,0.94,1.05
143,Aligarh,Uttar Pradesh,143,1.43,1.36,1.5,1.83,1.76,1.91
144,Mahamaya Nagar,Uttar Pradesh,144,0.97,0.88,1.06,1.11,1.03,1.2
145,Mathura,Uttar Pradesh,145,1.47,1.38,1.55,1.57,1.49,1.65
146,Agra,Uttar Pradesh,146,0.77,0.72,0.81,1.01,0.97,1.06
147,Firozabad,Uttar Pradesh,147,1.21,1.13,1.28,2.01,1.92,2.1
148,Mainpuri,Uttar Pradesh,148,1.01,0.93,1.09,1.02,0.94,1.09
149,Budaun,Uttar Pradesh,149,0.55,0.51,0.6,0.93,0.88,0.98
150,Bareilly,Uttar Pradesh,150,0.87,0.82,0.92,1.38,1.32,1.44
151,Pilibhit,Uttar Pradesh,151,1.09,1.01,1.17,1.71,1.62,1.81
152,Shahjahanpur,Uttar Pradesh,152,0.96,0.89,1.02,0.7,0.65,0.75
153,Kheri,Uttar Pradesh,153,0.94,0.89,1,0.56,0.53,0.6
154,Sitapur,Uttar Pradesh,154,0.88,0.83,0.93,0.59,0.56,0.63
155,Hardoi,Uttar Pradesh,155,0.5,0.47,0.54,0.51,0.47,0.55
156,Unnao,Uttar Pradesh,156,0.95,0.89,1.01,0.77,0.72,0.82
157,Lucknow,Uttar Pradesh,157,2,1.92,2.07,1.28,1.23,1.34
158,Rae Bareli,Uttar Pradesh,158,0.77,0.72,0.83,0.63,0.59,0.68
159,Farrukhabad,Uttar Pradesh,159,0.65,0.58,0.71,0.74,0.68,0.8
160,Kannauj,Uttar Pradesh,160,0.99,0.91,1.08,1.8,1.69,1.91
161,Etawah,Uttar Pradesh,161,0.63,0.56,0.7,0.65,0.59,0.72
162,Auraiya,Uttar Pradesh,162,1.11,1.01,1.21,1.36,1.26,1.47
163,Kanpur Dehat,Uttar Pradesh,163,1.38,1.28,1.48,1.02,0.95,1.1
164,Kanpur Nagar,Uttar Pradesh,164,1.12,1.06,1.17,1.31,1.25,1.36
165,Jalaun,Uttar Pradesh,165,0.72,0.65,0.8,0.61,0.55,0.67
166,Jhansi,Uttar Pradesh,166,1.11,1.03,1.2,0.83,0.76,0.9
167,Lalitpur,Uttar Pradesh,167,0.31,0.26,0.37,0.48,0.42,0.55
168,Hamirpur,Uttar Pradesh,168,0.94,0.84,1.04,1.04,0.95,1.15
169,Mahoba,Uttar Pradesh,169,0.78,0.68,0.89,0.67,0.59,0.77
170,Banda,Uttar Pradesh,170,0.91,0.83,0.99,1.18,1.1,1.27
171,Chitrakoot,Uttar Pradesh,171,0.71,0.62,0.81,0.58,0.51,0.66
172,Fatehpur,Uttar Pradesh,172,0.76,0.7,0.82,0.63,0.59,0.69
173,Pratapgarh,Uttar Pradesh,173,0.98,0.92,1.04,0.92,0.87,0.97
174,Kaushambi,Uttar Pradesh,174,0.76,0.69,0.84,0.66,0.6,0.73
175,Allahabad,Uttar Pradesh,175,0.95,0.91,1,0.91,0.87,0.95
176,Bara Banki,Uttar Pradesh,176,0.73,0.68,0.78,1.21,1.15,1.27
177,Faizabad,Uttar Pradesh,177,0.99,0.92,1.06,1.16,1.09,1.23
178,Ambedkar Nagar,Uttar Pradesh,178,0.6,0.54,0.65,0.67,0.62,0.72
179,Sultanpur,Uttar Pradesh,179,0.66,0.62,0.71,0.81,0.77,0.86
180,Bahraich,Uttar Pradesh,180,0.86,0.81,0.92,1.6,1.53,1.67
181,Shrawasti,Uttar Pradesh,181,0.83,0.73,0.93,1.06,0.97,1.17
182,Balrampur,Uttar Pradesh,182,0.52,0.47,0.58,0.74,0.68,0.8
183,Gonda,Uttar Pradesh,183,0.56,0.52,0.61,0.67,0.62,0.71
184,Siddharth Nagar,Uttar Pradesh,184,0.42,0.38,0.47,0.54,0.5,0.59
185,Basti,Uttar Pradesh,185,0.43,0.39,0.48,0.87,0.82,0.93
186,Sant Kabir Nagar,Uttar Pradesh,186,0.53,0.47,0.59,0.66,0.6,0.73
187,Maharajganj,Uttar Pradesh,187,0.5,0.45,0.54,0.33,0.29,0.36
188,Gorakhpur,Uttar Pradesh,188,0.64,0.6,0.68,0.94,0.89,0.98
189,Kushinagar,Uttar Pradesh,189,0.45,0.41,0.48,0.56,0.52,0.6
190,Deoria,Uttar Pradesh,190,0.09,0.08,0.11,0.1,0.08,0.11
191,Azamgarh,Uttar Pradesh,191,0.5,0.47,0.54,0.68,0.64,0.72
192,Mau,Uttar Pradesh,192,0.73,0.67,0.8,0.83,0.77,0.89
193,Ballia,Uttar Pradesh,193,0.37,0.33,0.4,0.5,0.46,0.54
194,Jaunpur,Uttar Pradesh,194,0.35,0.32,0.38,0.5,0.47,0.53
195,Ghazipur,Uttar Pradesh,195,0.61,0.56,0.65,0.61,0.57,0.65
196,Chandauli,Uttar Pradesh,196,0.39,0.34,0.44,0.41,0.36,0.46
197,Varanasi,Uttar Pradesh,197,0.95,0.89,1.01,0.74,0.7,0.79
198,Sant Ravi Das Nagar(bhadohi),Uttar Pradesh,198,0.4,0.34,0.45,0.52,0.46,0.58
199,Mirzapur,Uttar Pradesh,199,0.38,0.34,0.42,0.34,0.31,0.38
200,Sonbhadra,Uttar Pradesh,200,0.48,0.42,0.54,0.67,0.61,0.73
201,Etah,Uttar Pradesh,201,0.75,0.68,0.82,0.53,0.48,0.59
202,Kansiram Nagar,Uttar Pradesh,202,1.72,1.59,1.84,1.24,1.14,1.33
203,Pashchim Champaran,Bihar,203,0.49,0.45,0.52,0.42,0.39,0.45
204,Purba Champaran,Bihar,204,0.42,0.38,0.45,0.51,0.48,0.54
205,Sheohar,Bihar,205,0.45,0.36,0.55,0.52,0.44,0.62
206,Sitamarhi,Bihar,206,0.46,0.42,0.5,0.68,0.64,0.73
207,Madhubani,Bihar,207,0.35,0.32,0.38,0.22,0.2,0.25
208,Supaul,Bihar,208,0.35,0.31,0.4,0.35,0.32,0.4
209,Araria,Bihar,209,0.43,0.39,0.48,0.44,0.4,0.48
210,Kishanganj,Bihar,210,0.48,0.42,0.54,0.43,0.38,0.48
211,Purnia,Bihar,211,0.38,0.34,0.41,0.55,0.51,0.59
212,Katihar,Bihar,212,0.47,0.43,0.52,0.43,0.4,0.47
213,Madhepura,Bihar,213,0.34,0.3,0.39,0.38,0.34,0.43
214,Saharsa,Bihar,214,0.27,0.23,0.31,0.3,0.26,0.34
215,Darbhanga,Bihar,215,0.43,0.4,0.47,0.27,0.25,0.3
216,Muzaffarpur,Bihar,216,0.52,0.48,0.55,0.67,0.64,0.71
217,Gopalganj,Bihar,217,0.35,0.31,0.39,0.49,0.44,0.53
218,Siwan,Bihar,218,0.3,0.27,0.33,0.34,0.31,0.37
219,Saran (chhapra),Bihar,219,0.58,0.53,0.62,0.59,0.55,0.63
220,Vaishali,Bihar,220,0.55,0.51,0.6,0.56,0.52,0.6
221,Samastipur,Bihar,221,0.32,0.29,0.35,0.36,0.33,0.39
222,Begusarai,Bihar,222,0.29,0.26,0.33,0.37,0.34,0.41
223,Khagaria,Bihar,223,0.38,0.33,0.43,0.58,0.52,0.64
224,Bhagalpur,Bihar,224,0.74,0.68,0.79,0.73,0.68,0.78
225,Banka,Bihar,225,0.38,0.33,0.43,0.34,0.3,0.38
226,Munger,Bihar,226,0.59,0.52,0.66,0.66,0.6,0.74
227,Lakhisarai,Bihar,227,0.47,0.4,0.54,0.6,0.52,0.68
228,Sheikhpura,Bihar,228,0.55,0.45,0.65,0.63,0.54,0.74
229,Nalanda,Bihar,229,0.73,0.68,0.79,0.73,0.68,0.78
230,Patna,Bihar,230,0.86,0.82,0.91,0.91,0.87,0.95
231,Bhojpur,Bihar,231,0.62,0.57,0.68,0.58,0.53,0.62
232,Buxar,Bihar,232,0.54,0.48,0.6,0.48,0.43,0.53
233,Kaimur (bhabua),Bihar,233,0.43,0.37,0.48,0.4,0.36,0.45
234,Rohtas,Bihar,234,0.37,0.34,0.41,0.38,0.35,0.42
235,Aurangabad,Bihar,235,0.29,0.25,0.33,0.45,0.41,0.49
236,Gaya,Bihar,236,0.46,0.43,0.5,0.71,0.68,0.76
237,Nawada,Bihar,237,0.45,0.4,0.5,0.49,0.44,0.53
238,Jamui,Bihar,238,0.38,0.33,0.43,0.34,0.3,0.39
239,Jehanabad,Bihar,239,0.36,0.3,0.43,0.45,0.39,0.51
240,Arwal,Bihar,240,0.38,0.3,0.46,0.48,0.4,0.56
241,North,Sikkim,241,0.72,0.36,1.21,0.87,0.5,1.42
242,West,Sikkim,242,0.43,0.26,0.63,0.68,0.49,0.94
243,South,Sikkim,243,0.82,0.58,1.1,0.82,0.6,1.08
244,East,Sikkim,244,1.01,0.81,1.24,0.95,0.77,1.15
245,Tawang,Arunanchal Pradesh,245,0.14,0.04,0.35,0.28,0.11,0.59
246,West Kameng,Arunanchal Pradesh,246,0.43,0.23,0.69,0.36,0.2,0.6
247,East Kameng,Arunanchal Pradesh,247,0.33,0.17,0.55,0.6,0.39,0.9
248,Papum Pare,Arunanchal Pradesh,248,2.06,1.7,2.45,2.31,1.96,2.69
249,Upper Subansiri,Arunanchal Pradesh,249,0.63,0.38,0.95,0.35,0.19,0.58
250,West Siang,Arunanchal Pradesh,250,0.75,0.5,1.04,0.95,0.69,1.27
251,East Siang,Arunanchal Pradesh,251,1.27,0.92,1.68,0.77,0.53,1.08
252,Upper Siang,Arunanchal Pradesh,252,0.42,0.18,0.79,0.6,0.31,1.06
253,Changlang,Arunanchal Pradesh,253,0.37,0.23,0.55,0.33,0.21,0.5
254,Tirap,Arunanchal Pradesh,254,0.32,0.18,0.51,0.21,0.11,0.35
255,Lower Subansiri,Arunanchal Pradesh,255,0.31,0.17,0.52,0.36,0.21,0.58
256,Kurung Kumey,Arunanchal Pradesh,256,0.29,0.15,0.49,0.16,0.08,0.3
257,Dibang Valley,Arunanchal Pradesh,257,0.98,0.27,2.29,0.4,0.09,1.13
258,Lower Dibang Valley,Arunanchal Pradesh,258,0.49,0.27,0.8,0.59,0.34,0.93
259,Lohit,Arunanchal Pradesh,259,0.64,0.43,0.88,0.43,0.28,0.62
260,Anjaw,Arunanchal Pradesh,260,0.28,0.08,0.64,0.54,0.22,1.11
261,Mon,Nagaland,261,0.1,0.05,0.17,0.1,0.05,0.17
262,Mokokchung,Nagaland,262,0.11,0.06,0.19,0.09,0.05,0.16
263,Zunheboto,Nagaland,263,0.09,0.04,0.16,0.07,0.03,0.14
264,Wokha,Nagaland,264,0.12,0.06,0.22,0.08,0.04,0.15
265,Dimapur,Nagaland,265,0.19,0.12,0.27,0.11,0.07,0.18
266,Phek,Nagaland,266,0.06,0.02,0.11,0.07,0.03,0.13
267,Tuensang,Nagaland,267,0.05,0.02,0.1,0.07,0.03,0.14
268,Longleng,Nagaland,268,0.12,0.04,0.26,0.14,0.06,0.31
269,Kiphire,Nagaland,269,0.06,0.02,0.15,0.06,0.02,0.15
270,Kohima,Nagaland,270,0.09,0.05,0.15,0.11,0.06,0.18
271,Peren,Nagaland,271,0.11,0.05,0.21,0.13,0.06,0.24
272,Senapati,Manipur,272,0.08,0.04,0.11,0.05,0.03,0.09
273,Tamenglong,Manipur,273,0.11,0.05,0.2,0.11,0.05,0.19
274,Churachandpur,Manipur,274,0.15,0.09,0.23,0.16,0.1,0.23
275,Bishnupur,Manipur,275,0.41,0.28,0.56,0.22,0.14,0.32
276,Thoubal,Manipur,276,0.47,0.37,0.59,0.34,0.26,0.44
277,Imphal West,Manipur,277,0.53,0.42,0.64,0.5,0.41,0.6
278,Imphal East,Manipur,278,0.3,0.22,0.39,0.27,0.2,0.35
279,Ukhrul,Manipur,279,0.05,0.02,0.1,0.08,0.04,0.16
280,Chandel,Manipur,280,0.12,0.06,0.22,0.13,0.07,0.23
281,Mamit,Mizoram,281,0.75,0.48,1.08,0.44,0.27,0.69
282,Kolasib,Mizoram,282,0.88,0.57,1.25,0.43,0.25,0.68
283,Aizawl,Mizoram,283,0.52,0.41,0.65,0.44,0.34,0.55
284,Champhai,Mizoram,284,0.68,0.45,0.95,0.46,0.3,0.67
285,Serchhip,Mizoram,285,0.33,0.15,0.58,0.49,0.28,0.8
286,Lunglei,Mizoram,286,0.4,0.25,0.57,0.22,0.13,0.35
287,Lawangtlai,Mizoram,287,0.34,0.19,0.55,0.21,0.11,0.36
288,Saiha,Mizoram,288,0.28,0.11,0.54,0.29,0.13,0.56
289,West Tripura,Tripura,289,0.77,0.7,0.85,0.42,0.37,0.47
290,South Tripura,Tripura,290,0.91,0.79,1.02,0.65,0.56,0.74
291,Dhalai,Tripura,291,0.48,0.36,0.61,0.49,0.38,0.62
292,North Tripura,Tripura,292,0.81,0.69,0.93,0.86,0.75,0.98
293,West Garo Hills,Meghalaya,293,0.45,0.37,0.55,0.66,0.56,0.77
294,East Garo Hills,Meghalaya,294,0.44,0.33,0.58,0.5,0.39,0.64
295,South Garo Hills,Meghalaya,295,0.54,0.35,0.77,0.49,0.33,0.7
296,West Khasi Hills,Meghalaya,296,0.66,0.53,0.81,0.56,0.45,0.69
297,Ri Bhoi,Meghalaya,297,1.05,0.84,1.28,0.71,0.56,0.89
